"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"240876674705670144","","","239010537592193025","18747424","2012-08-29 18:20:49 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @PaulHsieh: ""Standing Desk: Its Benefits and History"" http://t.co/ic0oGn5W (H/T: @internetcases)","http://artofmanliness.com/2011/07/05/become-a-stand-up-guy-the-history-benefits-and-use-of-standing-desks/"
"240873262186385408","","","239009460230709248","387514741","2012-08-29 18:07:15 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ScienceEnabled: Look at This: Every Recorded Hurricane Since 1851 on One Map | 80beats http://t.co/cC8D4BW3","http://ow.ly/1m7g4r"
"240872665907339264","","","238993017875345408","37011196","2012-08-29 18:04:53 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ProMED_mail: PRO/EDR&gt; Non-tuberculous mycobacteria - USA (02): (NY) tattoo, M. chelonae http://t.co/sN0n2g7h","http://bit.ly/P7Ibfl"
"240500091889274880","","","238104169523843072","16717933","2012-08-28 17:24:24 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @tinkertim: Programming: Spending 4 hours considering yourself quite clever, followed by a short yet somber realization that you're a ..."
"240499386449293312","","","238437766948605952","10760422","2012-08-28 17:21:36 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @daringfireball: Introducing Tent: http://t.co/T2CVwuvQ","http://df4.us/k6v"
"239125432216203264","","","237810601609543680","311294894","2012-08-24 22:22:00 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @AbuWerda: Hmm...although this study was meant as a joke, it could be a great way to approach comparative mythology:
http://t.co/kXIjJkby","http://io9.com/5936427/the-evolutionary-history-of-dragons-illustrated-by-a-scientist"
"239066594280620033","","","237668087468544000","16136334","2012-08-24 18:28:12 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ianthehenry: I made a game for iOS a couple months ago and forgot to tweet about it. But then I remembered! Phew. http://t.co/SXJEvgzu","http://itunes.apple.com/app/kalision/id539297244"
"238998690646343680","","","","","2012-08-24 13:58:22 +0000","<a href=""http://www.backupify.com"" rel=""nofollow"">Backupify Backup</a>","Backing up my tweets with @backupify - free Gmail, Facebook, and Twitter backup http://t.co/ZD9xwWPj","http://backu.me/free"
"238973480941527042","","","237198487039643648","18747424","2012-08-24 12:18:12 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @PaulHsieh: ""Yes, You Should Back Up Your Gmail, Facebook, and Twitter Accounts. Here’s How To Do It"" http://t.co/LNZyNCNa (H/T: @ins ...","http://www.slate.com/articles/technology/technology/2012/08/backupify_yes_you_should_back_up_your_gmail_facebook_and_twitter_accounts_here_s_how_to_do_it_.html"
"238850814049931265","","","237186842242473986","3212251","2012-08-24 04:10:46 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @kerim: @carlzimmer This post tries to explain the difference. http://t.co/CIadHrvM","http://www.niemanlab.org/2012/08/13-ways-of-looking-at-medium-the-new-bloggingsharingdiscovery-platform-from-ev-and-obvious/"
"238493150006620160","","","236981496924233729","37011196","2012-08-23 04:29:32 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @ProMED_mail: PRO/AH/EDR&gt; Ebola fever - Congo DR (03): (OE) Bundibugyo virus conf http://t.co/anRsQsqs","http://bit.ly/S6OCOW"
